time,open,high,low,close,volume,start
1643500800000.0,0.953,0.957,0.952,0.953,65496.4,2022-01-30 00:00:00
1643502600000.0,0.953,0.954,0.945,0.947,100843.1,2022-01-30 00:30:00
1643504400000.0,0.947,0.952,0.946,0.951,39703.0,2022-01-30 01:00:00
1643506200000.0,0.952,0.952,0.948,0.95,12372.3,2022-01-30 01:30:00
1643508000000.0,0.95,0.953,0.948,0.953,47274.4,2022-01-30 02:00:00
1643509800000.0,0.953,0.958,0.953,0.956,18843.9,2022-01-30 02:30:00
1643511600000.0,0.956,0.958,0.956,0.957,21353.7,2022-01-30 03:00:00
1643513400000.0,0.957,0.957,0.952,0.953,58901.5,2022-01-30 03:30:00
1643515200000.0,0.955,0.958,0.953,0.956,54008.1,2022-01-30 04:00:00
1643517000000.0,0.957,0.963,0.957,0.963,46701.9,2022-01-30 04:30:00
1643518800000.0,0.961,0.966,0.959,0.963,127363.0,2022-01-30 05:00:00
1643520600000.0,0.963,0.964,0.961,0.963,30032.6,2022-01-30 05:30:00
1643522400000.0,0.964,0.965,0.962,0.962,27778.1,2022-01-30 06:00:00
1643524200000.0,0.963,0.964,0.96,0.963,45160.3,2022-01-30 06:30:00
1643526000000.0,0.965,0.968,0.961,0.961,67813.2,2022-01-30 07:00:00
1643527800000.0,0.961,0.968,0.961,0.966,58376.9,2022-01-30 07:30:00
1643529600000.0,0.967,0.968,0.96,0.96,85998.0,2022-01-30 08:00:00
1643531400000.0,0.961,0.961,0.956,0.957,60387.4,2022-01-30 08:30:00
1643533200000.0,0.958,0.96,0.953,0.955,32162.5,2022-01-30 09:00:00
1643535000000.0,0.955,0.957,0.954,0.956,61545.1,2022-01-30 09:30:00
1643536800000.0,0.957,0.961,0.955,0.959,36382.0,2022-01-30 10:00:00
1643538600000.0,0.959,0.963,0.957,0.963,72089.5,2022-01-30 10:30:00
1643540400000.0,0.962,0.964,0.958,0.959,77377.7,2022-01-30 11:00:00
1643542200000.0,0.959,0.96,0.956,0.959,38048.8,2022-01-30 11:30:00
1643544000000.0,0.96,0.96,0.955,0.956,73729.9,2022-01-30 12:00:00
1643545800000.0,0.957,0.961,0.95,0.951,96616.6,2022-01-30 12:30:00
1643547600000.0,0.951,0.953,0.948,0.953,42960.3,2022-01-30 13:00:00
1643549400000.0,0.953,0.953,0.95,0.953,64269.3,2022-01-30 13:30:00
1643551200000.0,0.953,0.953,0.942,0.945,100471.2,2022-01-30 14:00:00
1643553000000.0,0.945,0.952,0.943,0.95,223137.3,2022-01-30 14:30:00
1643554800000.0,0.949,0.952,0.945,0.949,60097.0,2022-01-30 15:00:00
1643556600000.0,0.95,0.951,0.948,0.948,38292.2,2022-01-30 15:30:00
1643558400000.0,0.949,0.951,0.946,0.947,65497.8,2022-01-30 16:00:00
1643560200000.0,0.948,0.948,0.942,0.944,66617.3,2022-01-30 16:30:00
1643562000000.0,0.943,0.945,0.94,0.944,88932.5,2022-01-30 17:00:00
1643563800000.0,0.944,0.946,0.943,0.946,45756.7,2022-01-30 17:30:00
1643565600000.0,0.946,0.947,0.942,0.944,52371.0,2022-01-30 18:00:00
1643567400000.0,0.944,0.944,0.938,0.939,60349.0,2022-01-30 18:30:00
1643569200000.0,0.939,0.94,0.921,0.925,321496.7,2022-01-30 19:00:00
1643571000000.0,0.925,0.93,0.923,0.928,150868.8,2022-01-30 19:30:00
1643572800000.0,0.927,0.937,0.925,0.934,105841.2,2022-01-30 20:00:00
1643574600000.0,0.935,0.937,0.928,0.935,140260.4,2022-01-30 20:30:00
1643576400000.0,0.935,0.936,0.925,0.929,170029.8,2022-01-30 21:00:00
1643578200000.0,0.928,0.936,0.928,0.931,103073.0,2022-01-30 21:30:00
1643580000000.0,0.931,0.934,0.928,0.932,83933.2,2022-01-30 22:00:00
1643581800000.0,0.931,0.934,0.929,0.933,57016.0,2022-01-30 22:30:00
1643583600000.0,0.935,0.943,0.933,0.938,115889.5,2022-01-30 23:00:00
1643585400000.0,0.937,0.938,0.928,0.93,44931.9,2022-01-30 23:30:00
1643587200000.0,0.931,0.931,0.922,0.922,78736.0,2022-01-31 00:00:00
1643589000000.0,0.924,0.925,0.908,0.912,270655.4,2022-01-31 00:30:00
1643590800000.0,0.912,0.917,0.911,0.914,100651.7,2022-01-31 01:00:00
1643592600000.0,0.914,0.915,0.911,0.911,49966.4,2022-01-31 01:30:00
1643594400000.0,0.911,0.919,0.905,0.916,128512.3,2022-01-31 02:00:00
1643596200000.0,0.917,0.921,0.917,0.919,89786.2,2022-01-31 02:30:00
1643598000000.0,0.92,0.921,0.916,0.916,71969.4,2022-01-31 03:00:00
1643599800000.0,0.915,0.917,0.913,0.917,40681.3,2022-01-31 03:30:00
1643601600000.0,0.915,0.916,0.91,0.91,62043.6,2022-01-31 04:00:00
1643603400000.0,0.909,0.91,0.907,0.908,43707.1,2022-01-31 04:30:00
1643605200000.0,0.908,0.911,0.907,0.911,56824.7,2022-01-31 05:00:00
1643607000000.0,0.912,0.914,0.911,0.914,24076.8,2022-01-31 05:30:00
1643608800000.0,0.913,0.917,0.912,0.915,75798.1,2022-01-31 06:00:00
1643610600000.0,0.915,0.915,0.911,0.911,76913.7,2022-01-31 06:30:00
1643612400000.0,0.91,0.916,0.91,0.914,87462.5,2022-01-31 07:00:00
1643614200000.0,0.915,0.92,0.915,0.916,60774.2,2022-01-31 07:30:00
1643616000000.0,0.918,0.92,0.916,0.916,84941.6,2022-01-31 08:00:00
1643617800000.0,0.917,0.918,0.915,0.916,72324.9,2022-01-31 08:30:00
1643619600000.0,0.917,0.917,0.913,0.914,68078.3,2022-01-31 09:00:00
1643621400000.0,0.914,0.918,0.913,0.917,81778.9,2022-01-31 09:30:00
1643623200000.0,0.917,0.917,0.912,0.914,68171.5,2022-01-31 10:00:00
1643625000000.0,0.914,0.918,0.913,0.917,41749.4,2022-01-31 10:30:00
1643626800000.0,0.917,0.918,0.913,0.914,95478.8,2022-01-31 11:00:00
1643628600000.0,0.914,0.92,0.909,0.918,116711.2,2022-01-31 11:30:00
1643630400000.0,0.918,0.922,0.908,0.912,138441.1,2022-01-31 12:00:00
1643632200000.0,0.911,0.916,0.911,0.915,73554.5,2022-01-31 12:30:00
1643634000000.0,0.913,0.915,0.909,0.914,113849.5,2022-01-31 13:00:00
1643635800000.0,0.915,0.918,0.914,0.915,82837.9,2022-01-31 13:30:00
1643637600000.0,0.915,0.916,0.912,0.913,86274.9,2022-01-31 14:00:00
1643639400000.0,0.913,0.916,0.91,0.915,109106.7,2022-01-31 14:30:00
1643641200000.0,0.916,0.929,0.916,0.923,271196.4,2022-01-31 15:00:00
1643643000000.0,0.922,0.927,0.921,0.923,156348.9,2022-01-31 15:30:00
1643644800000.0,0.924,0.93,0.921,0.927,151833.3,2022-01-31 16:00:00
1643646600000.0,0.927,0.941,0.927,0.939,266056.7,2022-01-31 16:30:00
1643648400000.0,0.939,0.945,0.933,0.937,240594.0,2022-01-31 17:00:00
1643650200000.0,0.936,0.938,0.932,0.936,105129.1,2022-01-31 17:30:00
1643652000000.0,0.937,0.94,0.931,0.931,239161.7,2022-01-31 18:00:00
1643653800000.0,0.933,0.938,0.93,0.936,144928.2,2022-01-31 18:30:00
1643655600000.0,0.934,0.939,0.932,0.934,111045.1,2022-01-31 19:00:00
1643657400000.0,0.934,0.934,0.928,0.93,305356.0,2022-01-31 19:30:00
1643659200000.0,0.93,0.932,0.925,0.928,115312.2,2022-01-31 20:00:00
1643661000000.0,0.927,0.933,0.927,0.933,110140.2,2022-01-31 20:30:00
1643662800000.0,0.931,0.938,0.93,0.937,165318.3,2022-01-31 21:00:00
1643664600000.0,0.937,0.937,0.932,0.934,56241.5,2022-01-31 21:30:00
1643666400000.0,0.933,0.939,0.932,0.937,66354.3,2022-01-31 22:00:00
1643668200000.0,0.938,0.939,0.934,0.935,40271.0,2022-01-31 22:30:00
1643670000000.0,0.934,0.938,0.932,0.935,67081.8,2022-01-31 23:00:00
1643671800000.0,0.935,0.939,0.934,0.937,43778.7,2022-01-31 23:30:00
1643673600000.0,0.936,0.94,0.933,0.937,83180.7,2022-02-01 00:00:00
1643675400000.0,0.937,0.937,0.93,0.931,50693.5,2022-02-01 00:30:00
1643677200000.0,0.931,0.932,0.927,0.931,165429.0,2022-02-01 01:00:00
1643679000000.0,0.931,0.933,0.929,0.93,61076.6,2022-02-01 01:30:00
1643680800000.0,0.93,0.931,0.922,0.926,134384.4,2022-02-01 02:00:00
1643682600000.0,0.926,0.931,0.926,0.931,43392.8,2022-02-01 02:30:00
1643684400000.0,0.932,0.937,0.929,0.937,39863.6,2022-02-01 03:00:00
1643686200000.0,0.938,0.941,0.935,0.941,83852.7,2022-02-01 03:30:00
1643688000000.0,0.941,0.948,0.939,0.939,118294.2,2022-02-01 04:00:00
1643689800000.0,0.938,0.939,0.936,0.938,22164.8,2022-02-01 04:30:00
1643691600000.0,0.939,0.94,0.937,0.939,51793.1,2022-02-01 05:00:00
1643693400000.0,0.939,0.942,0.938,0.938,49652.4,2022-02-01 05:30:00
1643695200000.0,0.937,0.938,0.931,0.935,62354.0,2022-02-01 06:00:00
1643697000000.0,0.935,0.937,0.934,0.935,24644.4,2022-02-01 06:30:00
1643698800000.0,0.935,0.94,0.934,0.938,31973.9,2022-02-01 07:00:00
1643700600000.0,0.938,0.94,0.937,0.939,65246.0,2022-02-01 07:30:00
1643702400000.0,0.939,0.943,0.938,0.942,81598.6,2022-02-01 08:00:00
1643704200000.0,0.942,0.945,0.94,0.945,52055.8,2022-02-01 08:30:00
1643706000000.0,0.945,0.954,0.934,0.938,410576.4,2022-02-01 09:00:00
1643707800000.0,0.939,0.941,0.932,0.934,171745.2,2022-02-01 09:30:00
1643709600000.0,0.934,0.938,0.928,0.932,166773.0,2022-02-01 10:00:00
1643711400000.0,0.931,0.935,0.93,0.933,85572.2,2022-02-01 10:30:00
1643713200000.0,0.933,0.942,0.931,0.939,161011.6,2022-02-01 11:00:00
1643715000000.0,0.938,0.939,0.934,0.937,71311.8,2022-02-01 11:30:00
1643716800000.0,0.937,0.941,0.936,0.941,51849.8,2022-02-01 12:00:00
1643718600000.0,0.941,0.945,0.939,0.945,94273.1,2022-02-01 12:30:00
1643720400000.0,0.944,0.952,0.944,0.947,228752.9,2022-02-01 13:00:00
1643722200000.0,0.947,0.95,0.941,0.946,155490.7,2022-02-01 13:30:00
1643724000000.0,0.945,0.954,0.943,0.951,164673.0,2022-02-01 14:00:00
1643725800000.0,0.952,0.952,0.938,0.943,344188.2,2022-02-01 14:30:00
1643727600000.0,0.942,0.945,0.937,0.943,215745.4,2022-02-01 15:00:00
1643729400000.0,0.943,0.948,0.94,0.948,117694.3,2022-02-01 15:30:00
1643731200000.0,0.948,0.954,0.945,0.949,240753.9,2022-02-01 16:00:00
1643733000000.0,0.95,0.961,0.949,0.958,178404.4,2022-02-01 16:30:00
1643734800000.0,0.957,0.959,0.95,0.95,143227.7,2022-02-01 17:00:00
1643736600000.0,0.951,0.954,0.948,0.954,81658.1,2022-02-01 17:30:00
1643738400000.0,0.954,0.96,0.954,0.958,157088.6,2022-02-01 18:00:00
1643740200000.0,0.959,0.959,0.949,0.951,146155.3,2022-02-01 18:30:00
1643742000000.0,0.951,0.953,0.946,0.949,155741.8,2022-02-01 19:00:00
1643743800000.0,0.949,0.951,0.947,0.949,125191.3,2022-02-01 19:30:00
1643745600000.0,0.949,0.954,0.949,0.951,78335.2,2022-02-01 20:00:00
1643747400000.0,0.953,0.959,0.95,0.95,178454.5,2022-02-01 20:30:00
1643749200000.0,0.951,0.957,0.951,0.956,60574.3,2022-02-01 21:00:00
1643751000000.0,0.955,0.959,0.953,0.959,96509.1,2022-02-01 21:30:00
1643752800000.0,0.959,0.962,0.956,0.957,71677.4,2022-02-01 22:00:00
1643754600000.0,0.958,0.958,0.951,0.955,72015.5,2022-02-01 22:30:00
1643756400000.0,0.955,0.958,0.952,0.957,57533.6,2022-02-01 23:00:00
1643758200000.0,0.957,0.974,0.957,0.974,312816.0,2022-02-01 23:30:00
1643760000000.0,0.974,0.979,0.968,0.97,214942.9,2022-02-02 00:00:00
1643761800000.0,0.97,0.97,0.962,0.968,171219.5,2022-02-02 00:30:00
1643763600000.0,0.967,0.974,0.966,0.968,64249.5,2022-02-02 01:00:00
1643765400000.0,0.968,0.968,0.964,0.965,56087.4,2022-02-02 01:30:00
1643767200000.0,0.965,0.971,0.96,0.97,73458.1,2022-02-02 02:00:00
1643769000000.0,0.971,0.973,0.97,0.97,64057.8,2022-02-02 02:30:00
1643770800000.0,0.971,0.977,0.971,0.973,41106.8,2022-02-02 03:00:00
1643772600000.0,0.972,0.972,0.967,0.969,28598.2,2022-02-02 03:30:00
1643774400000.0,0.968,0.968,0.962,0.964,39379.7,2022-02-02 04:00:00
1643776200000.0,0.965,0.966,0.962,0.963,64487.5,2022-02-02 04:30:00
1643778000000.0,0.963,0.963,0.956,0.956,82085.3,2022-02-02 05:00:00
1643779800000.0,0.956,0.958,0.952,0.956,86266.1,2022-02-02 05:30:00
1643781600000.0,0.958,0.96,0.955,0.957,43816.7,2022-02-02 06:00:00
1643783400000.0,0.957,0.958,0.946,0.951,125601.6,2022-02-02 06:30:00
1643785200000.0,0.95,0.951,0.947,0.951,55014.0,2022-02-02 07:00:00
1643787000000.0,0.95,0.951,0.94,0.941,201864.0,2022-02-02 07:30:00
1643788800000.0,0.941,0.944,0.939,0.942,131109.8,2022-02-02 08:00:00
1643790600000.0,0.944,0.948,0.942,0.945,78983.7,2022-02-02 08:30:00
1643792400000.0,0.945,0.947,0.941,0.944,144639.3,2022-02-02 09:00:00
1643794200000.0,0.944,0.953,0.942,0.951,97524.6,2022-02-02 09:30:00
1643796000000.0,0.951,0.951,0.947,0.948,67314.2,2022-02-02 10:00:00
1643797800000.0,0.95,0.95,0.946,0.948,57526.1,2022-02-02 10:30:00
1643799600000.0,0.949,0.949,0.946,0.947,48922.4,2022-02-02 11:00:00
1643801400000.0,0.948,0.949,0.943,0.945,68682.2,2022-02-02 11:30:00
1643803200000.0,0.945,0.952,0.945,0.949,73496.2,2022-02-02 12:00:00
1643805000000.0,0.948,0.957,0.947,0.954,116164.6,2022-02-02 12:30:00
1643806800000.0,0.954,0.957,0.95,0.954,110958.0,2022-02-02 13:00:00
1643808600000.0,0.954,0.957,0.949,0.95,90500.5,2022-02-02 13:30:00
1643810400000.0,0.95,0.954,0.946,0.947,87852.8,2022-02-02 14:00:00
1643812200000.0,0.946,0.947,0.919,0.926,540898.4,2022-02-02 14:30:00
1643814000000.0,0.926,0.932,0.924,0.932,294268.3,2022-02-02 15:00:00
1643815800000.0,0.931,0.935,0.925,0.928,149530.1,2022-02-02 15:30:00
1643817600000.0,0.929,0.929,0.915,0.923,297021.5,2022-02-02 16:00:00
1643819400000.0,0.923,0.932,0.918,0.928,199084.5,2022-02-02 16:30:00
