time,open,high,low,close,volume,start
1643500800000.0,64.62,64.96,64.3,64.54,184.48,2022-01-30 00:00:00
1643502600000.0,64.54,64.54,63.37,63.91,449.72,2022-01-30 00:30:00
1643504400000.0,63.81,64.21,63.77,64.16,150.07,2022-01-30 01:00:00
1643506200000.0,64.16,64.16,63.59,63.79,67.68,2022-01-30 01:30:00
1643508000000.0,63.62,63.62,63.07,63.33,66.53,2022-01-30 02:00:00
1643509800000.0,63.53,63.76,63.46,63.66,165.28,2022-01-30 02:30:00
1643511600000.0,63.87,64.09,63.78,64.09,79.74,2022-01-30 03:00:00
1643513400000.0,63.96,64.0,63.44,63.54,113.84,2022-01-30 03:30:00
1643515200000.0,63.58,63.64,63.53,63.63,52.76,2022-01-30 04:00:00
1643517000000.0,63.64,64.18,63.62,64.18,125.3,2022-01-30 04:30:00
1643518800000.0,64.18,64.89,64.02,64.32,1157.24,2022-01-30 05:00:00
1643520600000.0,64.24,64.32,64.17,64.27,11.23,2022-01-30 05:30:00
1643522400000.0,64.22,64.46,64.22,64.3,248.61,2022-01-30 06:00:00
1643524200000.0,64.37,64.38,64.05,64.38,158.75,2022-01-30 06:30:00
1643526000000.0,64.55,64.72,64.41,64.45,54.18,2022-01-30 07:00:00
1643527800000.0,64.61,65.11,64.53,64.81,345.42,2022-01-30 07:30:00
1643529600000.0,64.85,65.09,64.65,64.78,205.78,2022-01-30 08:00:00
1643531400000.0,64.7,64.7,64.3,64.3,260.04,2022-01-30 08:30:00
1643533200000.0,64.36,64.5,64.0,64.01,156.65,2022-01-30 09:00:00
1643535000000.0,64.05,64.23,63.21,63.36,1033.46,2022-01-30 09:30:00
1643536800000.0,63.34,63.71,63.27,63.56,504.86,2022-01-30 10:00:00
1643538600000.0,63.54,63.89,63.43,63.89,225.7,2022-01-30 10:30:00
1643540400000.0,63.95,63.99,63.67,63.75,145.37,2022-01-30 11:00:00
1643542200000.0,63.78,63.87,63.36,63.87,172.78,2022-01-30 11:30:00
1643544000000.0,63.77,63.77,63.05,63.2,557.04,2022-01-30 12:00:00
1643545800000.0,63.21,63.36,62.39,62.39,494.44,2022-01-30 12:30:00
1643547600000.0,62.58,62.68,62.11,62.52,1063.62,2022-01-30 13:00:00
1643549400000.0,62.65,62.75,62.43,62.56,218.36,2022-01-30 13:30:00
1643551200000.0,62.54,62.59,61.77,61.87,334.55,2022-01-30 14:00:00
1643553000000.0,61.93,62.32,61.78,62.32,386.91,2022-01-30 14:30:00
1643554800000.0,62.37,62.93,62.09,62.88,569.1,2022-01-30 15:00:00
1643556600000.0,62.81,62.95,62.6,62.65,255.77,2022-01-30 15:30:00
1643558400000.0,62.67,62.8,62.44,62.52,111.57,2022-01-30 16:00:00
1643560200000.0,62.52,62.6,62.02,62.24,374.98,2022-01-30 16:30:00
1643562000000.0,62.32,62.56,61.85,62.36,986.4,2022-01-30 17:00:00
1643563800000.0,62.37,62.71,62.36,62.5,1706.87,2022-01-30 17:30:00
1643565600000.0,62.5,62.77,62.35,62.51,555.63,2022-01-30 18:00:00
1643567400000.0,62.5,62.54,61.86,62.03,455.07,2022-01-30 18:30:00
1643569200000.0,61.99,61.99,60.52,60.72,1048.52,2022-01-30 19:00:00
1643571000000.0,60.63,60.91,60.31,60.46,1100.67,2022-01-30 19:30:00
1643572800000.0,60.42,61.15,60.21,60.79,885.45,2022-01-30 20:00:00
1643574600000.0,60.85,60.96,60.49,60.82,268.0,2022-01-30 20:30:00
