time,open,high,low,close,volume,start
1643500800000.0,0.1286,0.1287,0.1281,0.1281,53364.0,2022-01-30 00:00:00
1643502600000.0,0.1281,0.1281,0.1271,0.1276,93224.0,2022-01-30 00:30:00
1643504400000.0,0.1276,0.1281,0.1275,0.1281,137099.0,2022-01-30 01:00:00
1643506200000.0,0.1281,0.1281,0.1275,0.1279,100997.0,2022-01-30 01:30:00
1643508000000.0,0.1279,0.128,0.1276,0.128,44995.0,2022-01-30 02:00:00
1643509800000.0,0.128,0.1283,0.1279,0.1279,30649.0,2022-01-30 02:30:00
1643511600000.0,0.1281,0.1283,0.128,0.1283,86651.0,2022-01-30 03:00:00
1643513400000.0,0.1281,0.1282,0.1274,0.1274,45089.0,2022-01-30 03:30:00
1643515200000.0,0.1273,0.1277,0.1272,0.1277,92035.0,2022-01-30 04:00:00
1643517000000.0,0.1278,0.1282,0.1278,0.1282,123283.0,2022-01-30 04:30:00
1643518800000.0,0.1282,0.1287,0.1282,0.1287,219089.0,2022-01-30 05:00:00
1643520600000.0,0.1287,0.1287,0.1283,0.1283,144785.0,2022-01-30 05:30:00
1643522400000.0,0.1283,0.1287,0.1283,0.1285,113511.0,2022-01-30 06:00:00
1643524200000.0,0.1286,0.1289,0.1284,0.1289,101959.0,2022-01-30 06:30:00
1643526000000.0,0.1289,0.129,0.1287,0.1287,138743.0,2022-01-30 07:00:00
1643527800000.0,0.1288,0.1289,0.1285,0.1288,105176.0,2022-01-30 07:30:00
1643529600000.0,0.1288,0.1288,0.1283,0.1286,79658.0,2022-01-30 08:00:00
1643531400000.0,0.1283,0.1284,0.128,0.1284,35800.0,2022-01-30 08:30:00
1643533200000.0,0.1284,0.1285,0.128,0.128,86800.0,2022-01-30 09:00:00
1643535000000.0,0.1279,0.1283,0.1279,0.1283,93809.0,2022-01-30 09:30:00
1643536800000.0,0.1283,0.1292,0.1281,0.1287,184770.0,2022-01-30 10:00:00
1643538600000.0,0.1286,0.1289,0.1286,0.1289,50697.0,2022-01-30 10:30:00
1643540400000.0,0.1288,0.1292,0.1286,0.1286,112849.0,2022-01-30 11:00:00
1643542200000.0,0.1286,0.1287,0.1281,0.1286,95027.0,2022-01-30 11:30:00
1643544000000.0,0.1286,0.1287,0.1281,0.1285,95628.0,2022-01-30 12:00:00
1643545800000.0,0.1284,0.1287,0.1275,0.1279,93508.0,2022-01-30 12:30:00
1643547600000.0,0.1279,0.1282,0.1277,0.1281,89777.0,2022-01-30 13:00:00
1643549400000.0,0.1281,0.1282,0.128,0.1282,48019.0,2022-01-30 13:30:00
1643551200000.0,0.1282,0.1283,0.1258,0.1267,486767.0,2022-01-30 14:00:00
1643553000000.0,0.1269,0.127,0.1262,0.127,545815.0,2022-01-30 14:30:00
1643554800000.0,0.1272,0.1277,0.1269,0.1274,171056.0,2022-01-30 15:00:00
1643556600000.0,0.1274,0.1275,0.1271,0.1271,89984.0,2022-01-30 15:30:00
1643558400000.0,0.1272,0.1275,0.1269,0.1269,454265.0,2022-01-30 16:00:00
1643560200000.0,0.1268,0.1268,0.1262,0.1264,89462.0,2022-01-30 16:30:00
1643562000000.0,0.1263,0.127,0.126,0.1269,86276.0,2022-01-30 17:00:00
1643563800000.0,0.127,0.1272,0.1268,0.1269,59859.0,2022-01-30 17:30:00
1643565600000.0,0.1271,0.1272,0.1268,0.1269,100219.0,2022-01-30 18:00:00
1643567400000.0,0.1269,0.1269,0.1265,0.1268,92989.0,2022-01-30 18:30:00
1643569200000.0,0.1268,0.1268,0.1247,0.1251,438083.0,2022-01-30 19:00:00
1643571000000.0,0.1249,0.1255,0.1248,0.1254,123530.0,2022-01-30 19:30:00
1643572800000.0,0.1254,0.1259,0.1249,0.1256,546934.0,2022-01-30 20:00:00
1643574600000.0,0.1255,0.1257,0.1251,0.1254,102408.0,2022-01-30 20:30:00
1643576400000.0,0.1254,0.1254,0.1243,0.1246,249208.0,2022-01-30 21:00:00
1643578200000.0,0.1246,0.1253,0.1244,0.1251,166704.0,2022-01-30 21:30:00
1643580000000.0,0.1251,0.1254,0.1248,0.1253,179568.0,2022-01-30 22:00:00
1643581800000.0,0.1252,0.1255,0.1251,0.1253,85341.0,2022-01-30 22:30:00
1643583600000.0,0.1255,0.1262,0.1254,0.1258,732017.0,2022-01-30 23:00:00
1643585400000.0,0.1258,0.1259,0.125,0.1251,142507.0,2022-01-30 23:30:00
1643587200000.0,0.125,0.1251,0.124,0.1247,311115.0,2022-01-31 00:00:00
1643589000000.0,0.1247,0.1249,0.123,0.1234,639326.0,2022-01-31 00:30:00
1643590800000.0,0.1234,0.1239,0.1232,0.1235,141359.0,2022-01-31 01:00:00
1643592600000.0,0.1237,0.1239,0.1234,0.1234,99261.0,2022-01-31 01:30:00
1643594400000.0,0.1233,0.1233,0.1225,0.123,208834.0,2022-01-31 02:00:00
1643596200000.0,0.123,0.1234,0.123,0.1234,40470.0,2022-01-31 02:30:00
1643598000000.0,0.1233,0.1234,0.1231,0.1234,150879.0,2022-01-31 03:00:00
1643599800000.0,0.1234,0.1237,0.1234,0.1236,78081.0,2022-01-31 03:30:00
1643601600000.0,0.1234,0.1234,0.1231,0.1232,53248.0,2022-01-31 04:00:00
1643603400000.0,0.1227,0.1232,0.1226,0.1229,65220.0,2022-01-31 04:30:00
1643605200000.0,0.1231,0.1232,0.1227,0.1227,100878.0,2022-01-31 05:00:00
1643607000000.0,0.1226,0.1228,0.1225,0.1228,81607.0,2022-01-31 05:30:00
1643608800000.0,0.1228,0.123,0.1227,0.1228,30825.0,2022-01-31 06:00:00
1643610600000.0,0.1228,0.1228,0.1224,0.1224,257766.0,2022-01-31 06:30:00
1643612400000.0,0.1224,0.1228,0.1223,0.1228,128818.0,2022-01-31 07:00:00
1643614200000.0,0.1229,0.1233,0.1228,0.1231,43300.0,2022-01-31 07:30:00
1643616000000.0,0.1231,0.1232,0.1227,0.1227,87935.0,2022-01-31 08:00:00
1643617800000.0,0.1228,0.1231,0.1226,0.1231,104161.0,2022-01-31 08:30:00
1643619600000.0,0.123,0.1232,0.123,0.1232,57225.0,2022-01-31 09:00:00
