time,open,high,low,close,volume,start
1643500800000.0,16.85,16.87,16.74,16.75,4095.75,2022-01-30 00:00:00
1643502600000.0,16.74,16.74,16.56,16.64,4087.78,2022-01-30 00:30:00
1643504400000.0,16.66,16.8,16.66,16.8,1568.69,2022-01-30 01:00:00
1643506200000.0,16.82,16.82,16.65,16.71,2857.73,2022-01-30 01:30:00
1643508000000.0,16.7,16.71,16.6,16.69,1867.76,2022-01-30 02:00:00
1643509800000.0,16.7,16.77,16.69,16.74,1046.79,2022-01-30 02:30:00
1643511600000.0,16.75,16.79,16.75,16.79,974.39,2022-01-30 03:00:00
1643513400000.0,16.79,16.79,16.69,16.71,666.1,2022-01-30 03:30:00
1643515200000.0,16.7,16.76,16.66,16.74,2790.87,2022-01-30 04:00:00
1643517000000.0,16.76,16.92,16.75,16.87,3042.36,2022-01-30 04:30:00
1643518800000.0,16.87,16.98,16.85,16.96,2099.6,2022-01-30 05:00:00
1643520600000.0,16.92,17.05,16.91,17.05,2072.49,2022-01-30 05:30:00
1643522400000.0,17.04,17.09,16.99,17.04,3001.93,2022-01-30 06:00:00
1643524200000.0,17.04,17.06,16.88,16.94,3101.2,2022-01-30 06:30:00
1643526000000.0,16.93,16.99,16.93,16.96,2443.76,2022-01-30 07:00:00
1643527800000.0,16.96,16.99,16.9,16.95,1447.77,2022-01-30 07:30:00
1643529600000.0,16.98,17.03,16.92,16.97,2017.64,2022-01-30 08:00:00
1643531400000.0,16.95,16.95,16.88,16.9,2894.3,2022-01-30 08:30:00
1643533200000.0,16.9,16.98,16.83,16.85,1320.69,2022-01-30 09:00:00
1643535000000.0,16.85,16.92,16.85,16.87,1246.0,2022-01-30 09:30:00
1643536800000.0,16.87,16.97,16.86,16.96,1764.32,2022-01-30 10:00:00
1643538600000.0,16.96,17.02,16.95,17.02,1954.11,2022-01-30 10:30:00
1643540400000.0,17.02,17.07,16.97,16.97,2552.96,2022-01-30 11:00:00
1643542200000.0,16.99,16.99,16.88,16.96,1865.99,2022-01-30 11:30:00
1643544000000.0,16.96,16.97,16.85,16.92,2059.33,2022-01-30 12:00:00
1643545800000.0,16.94,17.03,16.72,16.76,4226.11,2022-01-30 12:30:00
1643547600000.0,16.8,16.84,16.68,16.77,2062.1,2022-01-30 13:00:00
1643549400000.0,16.78,16.79,16.7,16.74,1263.62,2022-01-30 13:30:00
1643551200000.0,16.74,16.78,16.46,16.57,4192.65,2022-01-30 14:00:00
1643553000000.0,16.57,16.63,16.53,16.63,3711.97,2022-01-30 14:30:00
1643554800000.0,16.64,16.71,16.55,16.69,2052.57,2022-01-30 15:00:00
1643556600000.0,16.69,16.7,16.63,16.64,1025.22,2022-01-30 15:30:00
1643558400000.0,16.65,16.74,16.59,16.67,2847.78,2022-01-30 16:00:00
1643560200000.0,16.66,16.66,16.52,16.54,2230.17,2022-01-30 16:30:00
1643562000000.0,16.53,16.63,16.41,16.61,4093.72,2022-01-30 17:00:00
1643563800000.0,16.61,16.67,16.57,16.66,2394.45,2022-01-30 17:30:00
1643565600000.0,16.67,16.67,16.56,16.57,2216.54,2022-01-30 18:00:00
1643567400000.0,16.57,16.57,16.47,16.49,2907.93,2022-01-30 18:30:00
1643569200000.0,16.49,16.49,16.07,16.13,10582.1,2022-01-30 19:00:00
1643571000000.0,16.11,16.22,16.09,16.14,4685.82,2022-01-30 19:30:00
1643572800000.0,16.17,16.3,16.03,16.16,4089.29,2022-01-30 20:00:00
1643574600000.0,16.16,16.23,16.08,16.18,2832.82,2022-01-30 20:30:00
1643576400000.0,16.19,16.19,16.04,16.07,2935.99,2022-01-30 21:00:00
1643578200000.0,16.08,16.22,16.07,16.17,2577.06,2022-01-30 21:30:00
1643580000000.0,16.2,16.2,16.09,16.19,1919.81,2022-01-30 22:00:00
1643581800000.0,16.18,16.27,16.15,16.23,2228.17,2022-01-30 22:30:00
1643583600000.0,16.3,16.51,16.26,16.38,4680.36,2022-01-30 23:00:00
1643585400000.0,16.39,16.42,16.28,16.33,1846.46,2022-01-30 23:30:00
1643587200000.0,16.31,16.34,16.09,16.14,4711.9,2022-01-31 00:00:00
1643589000000.0,16.16,16.18,15.74,15.86,11198.78,2022-01-31 00:30:00
1643590800000.0,15.85,15.98,15.85,15.96,2246.25,2022-01-31 01:00:00
1643592600000.0,15.97,16.01,15.89,15.93,3448.83,2022-01-31 01:30:00
1643594400000.0,15.89,15.9,15.58,15.65,9497.16,2022-01-31 02:00:00
1643596200000.0,15.64,15.72,15.64,15.67,2449.91,2022-01-31 02:30:00
1643598000000.0,15.69,15.75,15.6,15.69,2932.51,2022-01-31 03:00:00
1643599800000.0,15.7,15.72,15.66,15.72,947.67,2022-01-31 03:30:00
1643601600000.0,15.66,15.66,15.41,15.44,7027.76,2022-01-31 04:00:00
1643603400000.0,15.44,15.54,15.36,15.48,2790.4,2022-01-31 04:30:00
1643605200000.0,15.49,15.55,15.39,15.53,3073.67,2022-01-31 05:00:00
1643607000000.0,15.54,15.6,15.54,15.6,1073.91,2022-01-31 05:30:00
1643608800000.0,15.6,15.64,15.59,15.63,1527.08,2022-01-31 06:00:00
1643610600000.0,15.63,15.63,15.55,15.57,1834.91,2022-01-31 06:30:00
1643612400000.0,15.53,15.65,15.53,15.62,3535.83,2022-01-31 07:00:00
1643614200000.0,15.66,15.73,15.66,15.7,1683.46,2022-01-31 07:30:00
1643616000000.0,15.69,15.77,15.68,15.71,1187.63,2022-01-31 08:00:00
1643617800000.0,15.72,15.76,15.71,15.75,1073.32,2022-01-31 08:30:00
1643619600000.0,15.75,15.79,15.7,15.73,3556.19,2022-01-31 09:00:00
1643621400000.0,15.73,15.84,15.69,15.82,2471.95,2022-01-31 09:30:00
1643623200000.0,15.81,15.83,15.77,15.8,1027.78,2022-01-31 10:00:00
1643625000000.0,15.81,15.91,15.78,15.88,1968.7,2022-01-31 10:30:00
1643626800000.0,15.87,15.88,15.79,15.8,1488.89,2022-01-31 11:00:00
1643628600000.0,15.8,15.98,15.68,15.86,4538.79,2022-01-31 11:30:00
1643630400000.0,15.86,15.92,15.66,15.77,4540.73,2022-01-31 12:00:00
1643632200000.0,15.76,15.86,15.72,15.82,3237.33,2022-01-31 12:30:00
1643634000000.0,15.8,15.85,15.7,15.84,2288.02,2022-01-31 13:00:00
1643635800000.0,15.87,15.93,15.87,15.9,3056.7,2022-01-31 13:30:00
1643637600000.0,15.89,15.98,15.88,15.91,1710.64,2022-01-31 14:00:00
1643639400000.0,15.93,16.09,15.84,16.09,5560.57,2022-01-31 14:30:00
1643641200000.0,16.12,16.31,16.1,16.16,6680.93,2022-01-31 15:00:00
1643643000000.0,16.16,16.7,16.15,16.66,6560.19,2022-01-31 15:30:00
1643644800000.0,16.66,16.67,16.46,16.5,12578.75,2022-01-31 16:00:00
1643646600000.0,16.53,16.92,16.51,16.83,5727.55,2022-01-31 16:30:00
1643648400000.0,16.86,16.92,16.73,16.81,9429.56,2022-01-31 17:00:00
1643650200000.0,16.8,16.86,16.75,16.83,4167.56,2022-01-31 17:30:00
1643652000000.0,16.83,16.88,16.72,16.76,3508.73,2022-01-31 18:00:00
1643653800000.0,16.75,16.8,16.71,16.76,2710.04,2022-01-31 18:30:00
1643655600000.0,16.77,17.03,16.76,16.9,10469.53,2022-01-31 19:00:00
1643657400000.0,16.87,17.1,16.85,17.02,11309.64,2022-01-31 19:30:00
1643659200000.0,17.02,17.17,16.97,17.14,10339.7,2022-01-31 20:00:00
1643661000000.0,17.14,17.44,17.11,17.43,10731.38,2022-01-31 20:30:00
1643662800000.0,17.43,17.44,17.19,17.27,8468.01,2022-01-31 21:00:00
1643664600000.0,17.26,17.34,17.2,17.31,4832.52,2022-01-31 21:30:00
1643666400000.0,17.31,17.41,17.29,17.39,2305.08,2022-01-31 22:00:00
1643668200000.0,17.37,17.48,17.31,17.35,2128.39,2022-01-31 22:30:00
1643670000000.0,17.35,17.43,17.24,17.27,3343.46,2022-01-31 23:00:00
1643671800000.0,17.3,17.32,17.21,17.26,1967.85,2022-01-31 23:30:00
1643673600000.0,17.23,17.35,17.17,17.25,3042.09,2022-02-01 00:00:00
1643675400000.0,17.26,17.27,17.16,17.17,1644.05,2022-02-01 00:30:00
1643677200000.0,17.18,17.22,17.11,17.14,2862.62,2022-02-01 01:00:00
1643679000000.0,17.15,17.19,17.08,17.11,1923.84,2022-02-01 01:30:00
1643680800000.0,17.12,17.19,17.09,17.17,1954.59,2022-02-01 02:00:00
1643682600000.0,17.15,17.24,17.15,17.21,1566.29,2022-02-01 02:30:00
1643684400000.0,17.23,17.41,17.19,17.37,2571.37,2022-02-01 03:00:00
1643686200000.0,17.39,17.7,17.36,17.61,5662.84,2022-02-01 03:30:00
1643688000000.0,17.61,17.62,17.46,17.46,2183.6,2022-02-01 04:00:00
1643689800000.0,17.46,17.46,17.4,17.41,1444.19,2022-02-01 04:30:00
1643691600000.0,17.42,17.43,17.31,17.31,1784.27,2022-02-01 05:00:00
1643693400000.0,17.33,17.35,17.28,17.28,1244.12,2022-02-01 05:30:00
1643695200000.0,17.27,17.28,17.15,17.15,3640.59,2022-02-01 06:00:00
1643697000000.0,17.15,17.22,17.14,17.22,1761.68,2022-02-01 06:30:00
1643698800000.0,17.22,17.36,17.21,17.3,2202.13,2022-02-01 07:00:00
1643700600000.0,17.3,17.32,17.25,17.28,2966.09,2022-02-01 07:30:00
1643702400000.0,17.27,17.3,17.23,17.3,2927.29,2022-02-01 08:00:00
1643704200000.0,17.32,17.38,17.28,17.38,3179.43,2022-02-01 08:30:00
1643706000000.0,17.39,17.59,17.32,17.38,7011.22,2022-02-01 09:00:00
1643707800000.0,17.35,17.46,17.13,17.22,16513.72,2022-02-01 09:30:00
1643709600000.0,17.21,17.37,17.04,17.17,14344.22,2022-02-01 10:00:00
1643711400000.0,17.15,17.33,17.13,17.32,6690.38,2022-02-01 10:30:00
1643713200000.0,17.33,17.54,17.29,17.49,8212.28,2022-02-01 11:00:00
1643715000000.0,17.49,17.5,17.31,17.41,5021.16,2022-02-01 11:30:00
1643716800000.0,17.41,17.47,17.35,17.44,4296.14,2022-02-01 12:00:00
1643718600000.0,17.44,17.52,17.41,17.47,3836.22,2022-02-01 12:30:00
1643720400000.0,17.47,17.53,17.41,17.44,4156.8,2022-02-01 13:00:00
1643722200000.0,17.45,17.58,17.33,17.44,7150.19,2022-02-01 13:30:00
1643724000000.0,17.44,17.69,17.39,17.6,9624.56,2022-02-01 14:00:00
1643725800000.0,17.61,17.63,17.27,17.33,10329.14,2022-02-01 14:30:00
1643727600000.0,17.34,17.47,17.14,17.4,9305.72,2022-02-01 15:00:00
1643729400000.0,17.43,17.5,17.32,17.49,6295.23,2022-02-01 15:30:00
1643731200000.0,17.51,17.61,17.44,17.53,5842.63,2022-02-01 16:00:00
1643733000000.0,17.55,17.81,17.5,17.74,4300.48,2022-02-01 16:30:00
1643734800000.0,17.75,17.81,17.59,17.61,6709.73,2022-02-01 17:00:00
1643736600000.0,17.6,17.65,17.53,17.64,3550.6,2022-02-01 17:30:00
1643738400000.0,17.65,17.68,17.58,17.67,2848.88,2022-02-01 18:00:00
1643740200000.0,17.67,17.74,17.53,17.54,2731.63,2022-02-01 18:30:00
1643742000000.0,17.53,17.63,17.44,17.5,5771.84,2022-02-01 19:00:00
1643743800000.0,17.5,17.57,17.47,17.47,2066.21,2022-02-01 19:30:00
1643745600000.0,17.5,17.64,17.49,17.57,1589.91,2022-02-01 20:00:00
1643747400000.0,17.61,17.66,17.39,17.39,7322.47,2022-02-01 20:30:00
1643749200000.0,17.39,17.6,17.39,17.59,2223.99,2022-02-01 21:00:00
1643751000000.0,17.59,17.61,17.49,17.58,1591.16,2022-02-01 21:30:00
1643752800000.0,17.6,17.61,17.55,17.58,1528.72,2022-02-01 22:00:00
1643754600000.0,17.58,17.58,17.48,17.51,855.71,2022-02-01 22:30:00
1643756400000.0,17.5,17.53,17.4,17.51,2438.22,2022-02-01 23:00:00
1643758200000.0,17.52,17.54,17.36,17.38,3520.43,2022-02-01 23:30:00
1643760000000.0,17.4,17.46,17.31,17.42,3028.1,2022-02-02 00:00:00
1643761800000.0,17.39,17.63,17.3,17.59,8770.55,2022-02-02 00:30:00
1643763600000.0,17.56,17.97,17.53,17.84,8222.45,2022-02-02 01:00:00
1643765400000.0,17.84,17.86,17.72,17.73,4511.87,2022-02-02 01:30:00
1643767200000.0,17.77,17.91,17.69,17.91,5359.91,2022-02-02 02:00:00
1643769000000.0,17.9,18.17,17.85,18.09,6767.92,2022-02-02 02:30:00
1643770800000.0,18.09,18.27,18.08,18.09,2497.87,2022-02-02 03:00:00
1643772600000.0,18.08,18.09,18.01,18.06,2832.26,2022-02-02 03:30:00
1643774400000.0,18.03,18.07,17.95,17.99,4258.22,2022-02-02 04:00:00
1643776200000.0,18.0,18.04,17.9,17.91,2074.44,2022-02-02 04:30:00
1643778000000.0,17.89,17.94,17.8,17.81,2319.52,2022-02-02 05:00:00
1643779800000.0,17.81,17.86,17.77,17.86,1522.32,2022-02-02 05:30:00
1643781600000.0,17.87,18.02,17.83,17.95,2767.2,2022-02-02 06:00:00
1643783400000.0,17.96,17.98,17.78,17.88,2571.24,2022-02-02 06:30:00
1643785200000.0,17.89,17.99,17.84,17.92,2701.61,2022-02-02 07:00:00
1643787000000.0,17.94,17.97,17.75,17.8,2221.25,2022-02-02 07:30:00
1643788800000.0,17.8,17.91,17.71,17.87,2533.43,2022-02-02 08:00:00
1643790600000.0,17.85,17.91,17.79,17.88,1925.57,2022-02-02 08:30:00
1643792400000.0,17.88,17.93,17.84,17.89,2985.41,2022-02-02 09:00:00
1643794200000.0,17.88,18.08,17.88,18.06,2477.43,2022-02-02 09:30:00
1643796000000.0,18.06,18.06,17.92,18.01,2719.43,2022-02-02 10:00:00
1643797800000.0,18.01,18.07,17.94,18.05,3275.65,2022-02-02 10:30:00
1643799600000.0,18.05,18.09,18.02,18.06,3342.01,2022-02-02 11:00:00
1643801400000.0,18.07,18.12,17.99,18.07,2653.93,2022-02-02 11:30:00
1643803200000.0,18.05,18.19,18.05,18.13,2742.43,2022-02-02 12:00:00
1643805000000.0,18.13,18.18,18.06,18.14,2877.57,2022-02-02 12:30:00
1643806800000.0,18.14,18.15,17.95,18.01,3578.08,2022-02-02 13:00:00
1643808600000.0,18.03,18.06,17.91,17.93,2758.9,2022-02-02 13:30:00
1643810400000.0,17.93,18.03,17.87,17.92,3798.78,2022-02-02 14:00:00
1643812200000.0,17.91,17.93,17.2,17.35,18766.56,2022-02-02 14:30:00
1643814000000.0,17.35,17.51,17.27,17.32,10167.88,2022-02-02 15:00:00
1643815800000.0,17.33,17.36,17.0,17.05,12111.16,2022-02-02 15:30:00
1643817600000.0,17.0,17.05,16.71,16.91,10447.39,2022-02-02 16:00:00
1643819400000.0,16.91,17.05,16.81,17.0,5386.23,2022-02-02 16:30:00
1643821200000.0,17.0,17.18,16.93,17.12,5205.34,2022-02-02 17:00:00
1643823000000.0,17.08,17.13,17.0,17.11,2370.83,2022-02-02 17:30:00
1643824800000.0,17.11,17.13,17.05,17.09,1919.55,2022-02-02 18:00:00
1643826600000.0,17.09,17.21,17.09,17.21,1893.86,2022-02-02 18:30:00
1643828400000.0,17.19,17.26,17.14,17.24,2895.55,2022-02-02 19:00:00
1643830200000.0,17.24,17.37,17.23,17.28,3547.19,2022-02-02 19:30:00
1643832000000.0,17.29,17.3,17.17,17.22,3779.95,2022-02-02 20:00:00
1643833800000.0,17.2,17.23,17.0,17.14,7195.43,2022-02-02 20:30:00
1643835600000.0,17.14,17.17,16.65,16.85,9828.03,2022-02-02 21:00:00
1643837400000.0,16.82,16.9,16.45,16.75,12932.88,2022-02-02 21:30:00
1643839200000.0,16.72,16.87,16.58,16.76,6194.72,2022-02-02 22:00:00
1643841000000.0,16.77,16.85,16.7,16.75,2674.79,2022-02-02 22:30:00
1643842800000.0,16.76,16.84,16.67,16.73,1948.97,2022-02-02 23:00:00
1643844600000.0,16.71,16.76,16.59,16.66,2093.1,2022-02-02 23:30:00
1643846400000.0,16.64,16.71,16.51,16.68,2105.58,2022-02-03 00:00:00
1643848200000.0,16.68,16.73,16.51,16.53,3521.82,2022-02-03 00:30:00
1643850000000.0,16.54,16.63,16.51,16.56,3027.15,2022-02-03 01:00:00
1643851800000.0,16.56,16.62,16.23,16.4,4598.17,2022-02-03 01:30:00
1643853600000.0,16.37,16.41,16.27,16.39,2862.82,2022-02-03 02:00:00
1643855400000.0,16.39,16.39,16.31,16.34,2686.56,2022-02-03 02:30:00
1643857200000.0,16.37,16.39,16.25,16.28,2748.39,2022-02-03 03:00:00
1643859000000.0,16.29,16.38,16.21,16.27,2352.4,2022-02-03 03:30:00
1643860800000.0,16.23,16.32,16.22,16.25,2742.97,2022-02-03 04:00:00
1643862600000.0,16.24,16.33,16.22,16.29,1575.91,2022-02-03 04:30:00
1643864400000.0,16.28,16.38,16.25,16.36,2041.09,2022-02-03 05:00:00
1643866200000.0,16.37,16.41,16.34,16.36,1654.8,2022-02-03 05:30:00
1643868000000.0,16.35,16.36,16.28,16.29,1348.65,2022-02-03 06:00:00
1643869800000.0,16.33,16.38,16.32,16.35,1650.69,2022-02-03 06:30:00
1643871600000.0,16.36,16.47,16.35,16.46,1433.72,2022-02-03 07:00:00
1643873400000.0,16.47,16.5,16.41,16.47,1779.77,2022-02-03 07:30:00
1643875200000.0,16.47,16.6,16.46,16.53,2464.15,2022-02-03 08:00:00
1643877000000.0,16.53,16.55,16.46,16.52,5324.54,2022-02-03 08:30:00
1643878800000.0,16.53,16.56,16.41,16.43,3189.88,2022-02-03 09:00:00
1643880600000.0,16.42,16.48,16.13,16.15,4665.32,2022-02-03 09:30:00
1643882400000.0,16.2,16.22,16.0,16.15,5141.1,2022-02-03 10:00:00
1643884200000.0,16.15,16.24,16.13,16.15,2580.17,2022-02-03 10:30:00
1643886000000.0,16.15,16.28,16.11,16.28,1448.45,2022-02-03 11:00:00
1643887800000.0,16.29,16.41,16.23,16.27,5344.69,2022-02-03 11:30:00
1643889600000.0,16.27,16.27,15.95,15.99,3149.6,2022-02-03 12:00:00
1643891400000.0,16.03,16.29,15.99,16.27,2666.49,2022-02-03 12:30:00
1643893200000.0,16.26,16.3,16.18,16.24,2507.35,2022-02-03 13:00:00
1643895000000.0,16.28,16.29,16.03,16.15,4589.87,2022-02-03 13:30:00
1643896800000.0,16.15,16.22,16.09,16.12,4126.63,2022-02-03 14:00:00
1643898600000.0,16.11,16.28,16.09,16.13,2287.22,2022-02-03 14:30:00
1643900400000.0,16.11,16.39,16.1,16.32,2857.83,2022-02-03 15:00:00
1643902200000.0,16.33,16.34,16.16,16.31,3182.31,2022-02-03 15:30:00
1643904000000.0,16.29,16.4,16.23,16.25,3022.52,2022-02-03 16:00:00
1643905800000.0,16.25,16.26,16.08,16.1,2485.23,2022-02-03 16:30:00
1643907600000.0,16.09,16.17,15.95,16.17,3436.83,2022-02-03 17:00:00
1643909400000.0,16.16,16.24,16.14,16.2,1355.29,2022-02-03 17:30:00
1643911200000.0,16.2,16.2,16.12,16.17,1457.09,2022-02-03 18:00:00
1643913000000.0,16.19,16.25,16.18,16.21,1531.62,2022-02-03 18:30:00
1643914800000.0,16.21,16.26,16.11,16.11,2613.83,2022-02-03 19:00:00
1643916600000.0,16.1,16.11,15.93,16.03,2837.87,2022-02-03 19:30:00
1643918400000.0,16.03,16.08,15.97,16.02,4344.08,2022-02-03 20:00:00
1643920200000.0,16.02,16.03,15.9,15.97,1990.78,2022-02-03 20:30:00
1643922000000.0,15.99,16.32,15.99,16.23,4153.43,2022-02-03 21:00:00
1643923800000.0,16.22,16.49,16.22,16.37,3205.29,2022-02-03 21:30:00
1643925600000.0,16.38,16.42,16.3,16.36,2455.34,2022-02-03 22:00:00
1643927400000.0,16.35,16.38,16.28,16.37,3296.09,2022-02-03 22:30:00
1643929200000.0,16.35,16.44,16.32,16.4,2065.79,2022-02-03 23:00:00
1643931000000.0,16.4,16.59,16.32,16.51,2974.51,2022-02-03 23:30:00
1643932800000.0,16.54,16.54,16.42,16.45,1961.61,2022-02-04 00:00:00
1643934600000.0,16.44,16.51,16.43,16.51,1215.85,2022-02-04 00:30:00
1643936400000.0,16.5,16.5,16.43,16.47,699.18,2022-02-04 01:00:00
1643938200000.0,16.45,16.53,16.43,16.47,2442.84,2022-02-04 01:30:00
1643940000000.0,16.46,16.52,16.45,16.5,2118.0,2022-02-04 02:00:00
