time,open,high,low,close,volume,start
1643500800000.0,45.83,46.12,45.53,45.65,23119.81,2022-01-30 00:00:00
1643502600000.0,45.71,45.74,45.26,45.43,21126.6,2022-01-30 00:30:00
1643504400000.0,45.42,45.82,45.31,45.74,15930.51,2022-01-30 01:00:00
1643506200000.0,45.75,45.76,45.29,45.48,14594.13,2022-01-30 01:30:00
1643508000000.0,45.5,45.56,44.45,44.57,24584.94,2022-01-30 02:00:00
1643509800000.0,44.58,44.83,44.53,44.82,17344.02,2022-01-30 02:30:00
1643511600000.0,44.86,45.13,44.78,45.07,13059.78,2022-01-30 03:00:00
1643513400000.0,45.08,45.1,44.67,44.77,13494.2,2022-01-30 03:30:00
1643515200000.0,44.8,45.06,44.67,45.06,14750.73,2022-01-30 04:00:00
1643517000000.0,45.04,45.45,45.04,45.24,10999.95,2022-01-30 04:30:00
1643518800000.0,45.26,45.63,45.24,45.31,14632.76,2022-01-30 05:00:00
1643520600000.0,45.3,45.35,45.09,45.32,9404.33,2022-01-30 05:30:00
1643522400000.0,45.31,45.47,45.17,45.47,11310.85,2022-01-30 06:00:00
1643524200000.0,45.45,45.6,45.18,45.5,12299.59,2022-01-30 06:30:00
1643526000000.0,45.5,46.27,45.49,45.74,17793.96,2022-01-30 07:00:00
1643527800000.0,45.71,46.05,45.71,45.9,14191.01,2022-01-30 07:30:00
1643529600000.0,45.92,46.06,45.33,45.33,13081.8,2022-01-30 08:00:00
1643531400000.0,45.34,45.34,44.99,45.09,18058.33,2022-01-30 08:30:00
1643533200000.0,45.08,45.31,44.75,44.82,15315.2,2022-01-30 09:00:00
1643535000000.0,44.88,45.18,44.81,44.88,13613.32,2022-01-30 09:30:00
1643536800000.0,44.91,45.12,44.55,45.04,16005.35,2022-01-30 10:00:00
1643538600000.0,45.06,45.36,45.06,45.33,8884.68,2022-01-30 10:30:00
1643540400000.0,45.32,45.34,44.99,44.99,13957.62,2022-01-30 11:00:00
1643542200000.0,45.04,45.31,44.87,45.31,12914.59,2022-01-30 11:30:00
1643544000000.0,45.29,45.3,44.85,44.93,15651.17,2022-01-30 12:00:00
1643545800000.0,44.95,45.13,43.93,44.21,21779.75,2022-01-30 12:30:00
1643547600000.0,44.22,44.22,43.79,44.01,17566.59,2022-01-30 13:00:00
1643549400000.0,44.01,44.17,43.49,44.1,22312.59,2022-01-30 13:30:00
1643551200000.0,44.13,44.22,43.68,43.85,18747.88,2022-01-30 14:00:00
1643553000000.0,43.86,44.49,43.84,44.49,20761.25,2022-01-30 14:30:00
1643554800000.0,44.45,44.58,43.85,44.26,17089.19,2022-01-30 15:00:00
1643556600000.0,44.25,44.47,44.04,44.14,19938.39,2022-01-30 15:30:00
1643558400000.0,44.16,44.3,43.92,44.1,14447.95,2022-01-30 16:00:00
1643560200000.0,44.09,44.38,43.95,44.12,12431.32,2022-01-30 16:30:00
1643562000000.0,44.1,44.26,43.87,44.25,16327.02,2022-01-30 17:00:00
1643563800000.0,44.23,44.4,44.17,44.24,14149.82,2022-01-30 17:30:00
1643565600000.0,44.24,44.39,43.87,43.94,19366.72,2022-01-30 18:00:00
1643567400000.0,43.92,43.94,43.48,43.62,16164.07,2022-01-30 18:30:00
1643569200000.0,43.55,43.64,41.96,42.15,37039.61,2022-01-30 19:00:00
1643571000000.0,42.19,42.43,41.9,42.09,30766.85,2022-01-30 19:30:00
1643572800000.0,42.1,42.47,41.71,42.19,30246.88,2022-01-30 20:00:00
1643574600000.0,42.18,42.32,41.86,42.16,21490.03,2022-01-30 20:30:00
1643576400000.0,42.17,42.25,41.26,41.39,27888.12,2022-01-30 21:00:00
1643578200000.0,41.38,41.51,40.95,41.43,28819.75,2022-01-30 21:30:00
1643580000000.0,41.37,41.6,41.09,41.36,25609.63,2022-01-30 22:00:00
1643581800000.0,41.36,42.03,41.36,41.82,23080.79,2022-01-30 22:30:00
1643583600000.0,41.8,42.48,41.79,42.0,22229.47,2022-01-30 23:00:00
1643585400000.0,41.99,42.07,41.36,41.56,14607.26,2022-01-30 23:30:00
1643587200000.0,41.58,41.76,41.06,41.27,24300.45,2022-01-31 00:00:00
1643589000000.0,41.29,41.32,39.89,39.99,38385.09,2022-01-31 00:30:00
1643590800000.0,40.02,40.31,39.63,39.87,27920.88,2022-01-31 01:00:00
1643592600000.0,39.87,40.28,39.86,39.9,22344.28,2022-01-31 01:30:00
1643594400000.0,39.91,40.53,39.56,40.22,24806.97,2022-01-31 02:00:00
1643596200000.0,40.22,40.52,39.84,40.01,22041.32,2022-01-31 02:30:00
1643598000000.0,40.0,40.0,39.63,39.7,20187.25,2022-01-31 03:00:00
1643599800000.0,39.67,39.87,39.33,39.75,16623.79,2022-01-31 03:30:00
1643601600000.0,39.72,39.74,39.12,39.17,20757.52,2022-01-31 04:00:00
1643603400000.0,39.19,39.4,38.98,39.18,22940.64,2022-01-31 04:30:00
1643605200000.0,39.11,39.31,39.0,39.27,17866.78,2022-01-31 05:00:00
1643607000000.0,39.23,39.71,39.23,39.6,8397.78,2022-01-31 05:30:00
1643608800000.0,39.57,39.78,39.42,39.71,3746.86,2022-01-31 06:00:00
1643610600000.0,39.72,39.9,39.47,39.59,2290.72,2022-01-31 06:30:00
1643612400000.0,39.53,40.16,39.48,40.08,4008.71,2022-01-31 07:00:00
1643614200000.0,40.09,40.45,40.03,40.25,4914.71,2022-01-31 07:30:00
1643616000000.0,40.25,41.17,40.23,40.9,7119.42,2022-01-31 08:00:00
1643617800000.0,40.88,41.03,40.44,40.65,5328.63,2022-01-31 08:30:00
1643619600000.0,40.63,40.78,40.25,40.68,4267.07,2022-01-31 09:00:00
