time,open,high,low,close,volume,start
1643500800000.0,86.53,86.67,85.66,85.66,431.84,2022-01-30 00:00:00
1643502600000.0,85.76,85.8,84.13,84.13,1402.3,2022-01-30 00:30:00
1643504400000.0,84.31,85.11,84.31,85.05,309.01,2022-01-30 01:00:00
1643506200000.0,85.08,85.46,84.77,85.19,836.65,2022-01-30 01:30:00
1643508000000.0,85.12,85.26,84.36,84.98,535.55,2022-01-30 02:00:00
1643509800000.0,85.01,85.3,84.77,85.2,162.92,2022-01-30 02:30:00
1643511600000.0,85.26,85.56,85.18,85.33,240.77,2022-01-30 03:00:00
1643513400000.0,85.4,85.4,84.9,85.06,178.99,2022-01-30 03:30:00
1643515200000.0,85.08,85.34,84.9,85.24,171.15,2022-01-30 04:00:00
1643517000000.0,85.23,86.12,85.23,85.75,637.04,2022-01-30 04:30:00
1643518800000.0,85.74,86.5,85.72,86.29,381.7,2022-01-30 05:00:00
1643520600000.0,86.22,86.44,86.08,86.23,217.38,2022-01-30 05:30:00
1643522400000.0,86.19,86.43,86.15,86.4,296.76,2022-01-30 06:00:00
1643524200000.0,86.39,86.83,86.16,86.83,142.61,2022-01-30 06:30:00
1643526000000.0,86.85,87.77,86.76,87.19,2531.76,2022-01-30 07:00:00
1643527800000.0,87.1,87.41,86.7,87.0,1286.59,2022-01-30 07:30:00
1643529600000.0,87.04,87.31,86.25,86.29,656.12,2022-01-30 08:00:00
1643531400000.0,86.29,86.42,86.05,86.18,429.38,2022-01-30 08:30:00
1643533200000.0,86.12,86.49,85.61,85.73,336.32,2022-01-30 09:00:00
1643535000000.0,85.88,86.37,85.84,85.88,721.93,2022-01-30 09:30:00
1643536800000.0,85.8,86.29,85.69,86.22,417.83,2022-01-30 10:00:00
1643538600000.0,86.17,86.8,86.13,86.8,545.59,2022-01-30 10:30:00
1643540400000.0,86.8,87.0,86.24,86.24,708.73,2022-01-30 11:00:00
1643542200000.0,86.21,86.84,86.06,86.72,890.67,2022-01-30 11:30:00
1643544000000.0,86.69,86.72,86.03,86.47,2420.69,2022-01-30 12:00:00
1643545800000.0,86.47,86.83,85.58,85.76,1041.66,2022-01-30 12:30:00
1643547600000.0,85.81,85.91,85.15,85.64,1068.65,2022-01-30 13:00:00
1643549400000.0,85.64,85.68,85.24,85.43,1322.13,2022-01-30 13:30:00
1643551200000.0,85.51,85.67,84.27,84.72,2559.47,2022-01-30 14:00:00
1643553000000.0,84.77,85.22,84.6,85.17,1085.7,2022-01-30 14:30:00
1643554800000.0,85.22,85.79,84.91,85.69,723.37,2022-01-30 15:00:00
1643556600000.0,85.71,85.83,85.38,85.55,496.1,2022-01-30 15:30:00
1643558400000.0,85.59,86.23,85.45,85.59,425.44,2022-01-30 16:00:00
1643560200000.0,85.59,85.59,84.98,85.05,825.13,2022-01-30 16:30:00
